What is your gender identity?,What is your race/ethnicity?,What was the highest mathematics course that you took before your current Calculus I course?,Pick the field that is closest to what you want to do after graduating. Select all that apply.,Do you plan to take Calculus II?,"""If you answered no or maybe, why not?"""
"""Cis-gender man (male at birth, identify as a man)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus BC or equivalent,Medicine/health,No,My grade in Calculus I was not good enough to continue to Calculus II.
Agender (don't identify as any gender),Black/African American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Visual arts,No,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Gender fluid (gender identity and/or expression varies over time),White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Computer Science/technology,Maybe,I changed my major and now do not need to take Calculus II.
Gender fluid (gender identity and/or expression varies over time),White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Law/government,Yes,It is not required for my major / I have too many other courses that I need to complete.
Agender (don't identify as any gender),Hispanic/Latinx,AP Calculus AB or equivalent,Engineering/architecture,No,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Black/African American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Physics,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Education,No,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),White (non-Hispanic/Latinx),Other:,Physics,Maybe,Other:
Other:,White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Biology,Yes,Other:
Other:,Hispanic/Latinx,AP Calculus BC or equivalent,English/communication,No,n/a - I am taking Calculus II.
Other:,Other:,AP Calculus BC or equivalent,Economics,Yes,Other:
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),Other:,Environmental science/studies,No,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",2 or more races,AP Calculus BC or equivalent,Computer Science/technology,Yes,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Philosophy,Yes,My grade in Calculus I was not good enough to continue to Calculus II.
Gender fluid (gender identity and/or expression varies over time),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus AB or equivalent,Mathematics,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Chemistry,No,My experience in Calculus I made me decide not to take Calculus II.
"""Transgender man (female at birth, identify as a man)""",Hispanic/Latinx,Algebra 2 or College Algebra,Modern language,Yes,My grade in Calculus I was not good enough to continue to Calculus II.
Intersex (have a combination of male and female biological traits),White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Performing arts,Yes,It is not required for my major / I have too many other courses that I need to complete.
Agender (don't identify as any gender),Asian/Asian American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Computer Science/technology,Yes,Other:
Agender (don't identify as any gender),Asian/Asian American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Business/finance,Yes,Other:
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,AP Calculus AB or equivalent,Education,No,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Other:,AP Calculus AB or equivalent,Economics,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Algebra 2 or College Algebra,Physics,No,My grade in Calculus I was not good enough to continue to Calculus II.
"""Transgender man (female at birth, identify as a man)""",White (non-Hispanic/Latinx),Other:,Social sciences,Yes,I changed my major and now do not need to take Calculus II.
Agender (don't identify as any gender),2 or more races,Pre-calculus or Trigonometry,Mathematics,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Medicine/health,Maybe,I changed my major and now do not need to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus AB or equivalent,Philosophy,No,n/a - I am taking Calculus II.
Other:,White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Business/finance,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Modern language,No,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",2 or more races,Other:,Engineering/architecture,No,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Asian/Asian American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Physics,No,Other:
"""Transgender man (female at birth, identify as a man)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Other:,Engineering/architecture,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Other:,Mathematics,Yes,Other:
"""Cis-gender woman (female at birth, identify as a woman)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Other:,Social sciences,Yes,It is not required for my major / I have too many other courses that I need to complete.
"""Transgender man (female at birth, identify as a man)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Algebra 2 or College Algebra,Philosophy,Yes,My grade in Calculus I was not good enough to continue to Calculus II.
Gender fluid (gender identity and/or expression varies over time),2 or more races,Pre-calculus or Trigonometry,Visual arts,Yes,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),2 or more races,AP Calculus AB or equivalent,Biology,No,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",2 or more races,AP Calculus AB or equivalent,Medicine/health,Yes,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
"""Transgender man (female at birth, identify as a man)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Environmental science/studies,No,Other:
Intersex (have a combination of male and female biological traits),Black/African American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Environmental science/studies,No,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Hispanic/Latinx,Algebra 2 or College Algebra,Economics,Yes,It is not required for my major / I have too many other courses that I need to complete.
"""Cis-gender woman (female at birth, identify as a woman)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Chemistry,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Environmental science/studies,Maybe,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Engineering/architecture,No,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Mathematics,No,It is not required for my major / I have too many other courses that I need to complete.
Intersex (have a combination of male and female biological traits),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus BC or equivalent,Computer Science/technology,No,It is not required for my major / I have too many other courses that I need to complete.
"""Cis-gender man (male at birth, identify as a man)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus BC or equivalent,"Social services
",No,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Visual arts,No,Other:
Intersex (have a combination of male and female biological traits),White (non-Hispanic/Latinx),Other:,Mathematics,No,I changed my major and now do not need to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",2 or more races,AP Calculus AB or equivalent,Performing arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Other:,AP Calculus AB or equivalent,Physics,No,It is not required for my major / I have too many other courses that I need to complete.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Mathematics,No,I changed my major and now do not need to take Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Law/government,No,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Performing arts,Maybe,Other:
Non-binary / genderqueer (don't identify exclusively as a man or a woman),White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Philosophy,No,It is not required for my major / I have too many other courses that I need to complete.
Agender (don't identify as any gender),White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,English/communication,Yes,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Biology,No,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Other:,White (non-Hispanic/Latinx),Other:,Earth and/or space science,Yes,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Hispanic/Latinx,AP Calculus AB or equivalent,Visual arts,Yes,My grade in Calculus I was not good enough to continue to Calculus II.
Gender fluid (gender identity and/or expression varies over time),Black/African American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Education,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Law/government,Maybe,It is not required for my major / I have too many other courses that I need to complete.
Other:,White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Computer Science/technology,Yes,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Agender (don't identify as any gender),Black/African American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Mathematics,No,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
"""Transgender man (female at birth, identify as a man)""",2 or more races,AP Calculus AB or equivalent,Performing arts,No,It is not required for my major / I have too many other courses that I need to complete.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,English/communication,Yes,n/a - I am taking Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus AB or equivalent,Modern language,Maybe,My grade in Calculus I was not good enough to continue to Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Black/African American (non-Hispanic/Latinx),Other:,Environmental science/studies,Yes,It is not required for my major / I have too many other courses that I need to complete.
Agender (don't identify as any gender),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus BC or equivalent,"Social services
",Yes,My grade in Calculus I was not good enough to continue to Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Economics,Maybe,Other:
Other:,Asian/Asian American (non-Hispanic/Latinx),Algebra 2 or College Algebra,Visual arts,Yes,n/a - I am taking Calculus II.
Agender (don't identify as any gender),White (non-Hispanic/Latinx),Other:,Chemistry,No,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Algebra 2 or College Algebra,Social sciences,Maybe,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Hispanic/Latinx,Other:,Education,Yes,n/a - I am taking Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus BC or equivalent,Computer Science/technology,No,I changed my major and now do not need to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,Algebra 2 or College Algebra,Earth and/or space science,Yes,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Environmental science/studies,No,I changed my major and now do not need to take Calculus II.
"""Transgender man (female at birth, identify as a man)""",Other:,Pre-calculus or Trigonometry,Social sciences,Yes,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
Intersex (have a combination of male and female biological traits),Hispanic/Latinx,Algebra 2 or College Algebra,Engineering/architecture,No,I changed my major and now do not need to take Calculus II.
Other:,Black/African American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Physics,Yes,n/a - I am taking Calculus II.
Other:,2 or more races,AP Calculus AB or equivalent,Business/finance,No,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Algebra 2 or College Algebra,Mathematics,Yes,My grade in Calculus I was not good enough to continue to Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Other:,Earth and/or space science,Yes,My experience in Calculus I made me decide not to take Calculus II.
Gender fluid (gender identity and/or expression varies over time),2 or more races,Pre-calculus or Trigonometry,Medicine/health,Yes,My grade in Calculus I was not good enough to continue to Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Hispanic/Latinx,AP Calculus AB or equivalent,Computer Science/technology,Yes,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
"""Transgender man (female at birth, identify as a man)""",Other:,Other:,Performing arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Performing arts,Yes,Other:
Non-binary / genderqueer (don't identify exclusively as a man or a woman),White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Visual arts,No,n/a - I am taking Calculus II.
Other:,2 or more races,Algebra 2 or College Algebra,Medicine/health,Yes,I changed my major and now do not need to take Calculus II.
Other:,Black/African American (non-Hispanic/Latinx),Other:,English/communication,No,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
"""Transgender man (female at birth, identify as a man)""",2 or more races,AP Calculus AB or equivalent,English/communication,No,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Performing arts,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Medicine/health,Yes,I changed my major and now do not need to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Other:,Earth and/or space science,Yes,I changed my major and now do not need to take Calculus II.
"""Transgender man (female at birth, identify as a man)""",Other:,Pre-calculus or Trigonometry,Performing arts,Yes,It is not required for my major / I have too many other courses that I need to complete.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,Algebra 2 or College Algebra,Law/government,No,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",2 or more races,Algebra 2 or College Algebra,English/communication,No,My grade in Calculus I was not good enough to continue to Calculus II.
Agender (don't identify as any gender),White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Social sciences,No,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",2 or more races,AP Calculus AB or equivalent,Economics,No,I changed my major and now do not need to take Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Other:,Computer Science/technology,No,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Other:,Visual arts,Yes,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Pre-calculus or Trigonometry,"Social services
",Yes,My grade in Calculus I was not good enough to continue to Calculus II.
Other:,Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus BC or equivalent,Modern language,Maybe,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Hispanic/Latinx,AP Calculus BC or equivalent,Chemistry,Yes,It is not required for my major / I have too many other courses that I need to complete.
